mOVIE NAme,year,ratings
The Shawshank Redemption,(1994),9.3
The Godfather,(1972),9.2
The Dark Knight,(2008),9.0
The Lord of the Rings: The Return of the King,(2003),9.0
Schindler's List,(1993),9.0
The Godfather Part II,(1974),9.0
12 Angry Men,(1957),9.0
Pulp Fiction,(1994),8.9
Inception,(2010),8.8
The Lord of the Rings: The Two Towers,(2002),8.8
Fight Club,(1999),8.8
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
Forrest Gump,(1994),8.8
"Il buono, il brutto, il cattivo",(1966),8.8
The Matrix,(1999),8.7
Goodfellas,(1990),8.7
The Empire Strikes Back,(1980),8.7
One Flew Over the Cuckoo's Nest,(1975),8.7
Top Gun: Maverick,(2022),8.6
Interstellar,(2014),8.6
Cidade de Deus,(2002),8.6
Sen to Chihiro no kamikakushi,(2001),8.6
Saving Private Ryan,(1998),8.6
The Green Mile,(1999),8.6
La vita è bella,(1997),8.6
Se7en,(1995),8.6
Terminator 2: Judgment Day,(1991),8.6
The Silence of the Lambs,(1991),8.6
Star Wars,(1977),8.6
Seppuku,(1962),8.6
Shichinin no samurai,(1954),8.6
It's a Wonderful Life,(1946),8.6
Gisaengchung,(2019),8.5
Whiplash,(2014),8.5
The Intouchables,(2011),8.5
The Prestige,(2006),8.5
The Departed,(2006),8.5
The Pianist,(2002),8.5
Gladiator,(2000),8.5
American History X,(1998),8.5
The Usual Suspects,(1995),8.5
Léon,(1994),8.5
The Lion King,(1994),8.5
Nuovo Cinema Paradiso,(1988),8.5
Hotaru no haka,(1988),8.5
Back to the Future,(1985),8.5
Apocalypse Now,(1979),8.5
Alien,(1979),8.5
Once Upon a Time in the West,(1968),8.5
Psycho,(1960),8.5
